symbol,date,open,high,low,close,volume,adjusted
AAPL,2020-01-02,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,135480400,72.4005126953125
AAPL,2020-01-03,74.2874984741211,75.1449966430664,74.125,74.35749816894531,146322800,71.6966323852539
AAPL,2020-01-06,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,118387200,72.26793670654297
AAPL,2020-01-07,74.95999908447266,75.2249984741211,74.37000274658203,74.597503662109375,108872000,71.92805480957031
AAPL,2020-01-08,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,132079200,73.085113525390625
AAPL,2020-01-09,76.80999755859375,77.60749816894531,76.55000305175781,77.407501220703125,170108400,74.63750457763672
AAPL,2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,140644800,74.80621337890625
AAPL,2020-01-13,77.910003662109375,79.26750183105469,77.7874984741211,79.23999786376953,121532000,76.40442657470703
AAPL,2020-01-14,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,161954400,75.372711181640625
AAPL,2020-01-15,77.9625015258789,78.875,77.38749694824219,77.83499908447266,121923600,75.04972076416016
AAPL,2020-01-16,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,108829200,75.98979949951172
AAPL,2020-01-17,79.06749725341797,79.68499755859375,78.75,79.68250274658203,137816400,76.831085205078125
AAPL,2020-01-21,79.29750061035156,79.75499725341797,79,79.14250183105469,110843200,76.3104019165039
AAPL,2020-01-22,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,101832400,76.582794189453125
AAPL,2020-01-23,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,104472000,76.95161437988281
AAPL,2020-01-24,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,146537600,76.72985076904297
AAPL,2020-01-27,77.51499938964844,77.94249725341797,76.220001220703125,77.23750305175781,161940000,74.47357940673828
AAPL,2020-01-28,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,162234000,76.58039855957031
AAPL,2020-01-29,81.11250305175781,81.9625015258789,80.345001220703125,81.08499908447266,216229200,78.18340301513672
AAPL,2020-01-30,80.13500213623047,81.02249908447266,79.6875,80.967498779296875,126743200,78.0700912475586
AAPL,2020-01-31,80.23249816894531,80.66999816894531,77.07250213623047,77.37750244140625,199588400,74.60857391357422
AAPL,2020-02-03,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,173788400,74.4036865234375
AAPL,2020-02-04,78.82749938964844,79.910003662109375,78.407501220703125,79.7125015258789,136616400,76.86002349853516
AAPL,2020-02-05,80.87999725341797,81.19000244140625,79.73750305175781,80.36250305175781,118826800,77.48675537109375
AAPL,2020-02-06,80.64250183105469,81.30500030517578,80.06500244140625,81.30249786376953,105425600,78.39310455322266
