gvkey,datadate,fyear,company_name,sich,at,pidom,pifo,sale,dltt,dlc,xrd,xad,ppent,txt,txfo,foreign_assets,domestic_assets,foreign_sales,domestic_sales,num_segments,num_foreign_segs,num_domestic_segs,foreign_pm,domestic_pm,income_shift,usr,ftr,tax_diff,ww_profit,size,leverage,rnd_intensity,ad_intensity,ppe_intensity,year_trend,post_tcja
001104,20101231,2010,ACME UNITED CORP,3420,49.5810,0.0120,2.8990,63.1490,13.522,0,0.487,1.039,2.2160,0.338,0.595,11.896,37.683,15.965,47.184,3,2,1,0.1815847166,0.0002543235,0.1813303931,0.35,0.2052431873,-0.144756813,0.0460973254,3.9036076958,0.2727254392,0.0077119194,0.0164531505,0.0446945402,0,0
001104,20111231,2011,ACME UNITED CORP,3420,55.2220,1.9020,2.1240,73.3020,17.568,0,0.536,1.24,2.5060,1.215,0.533,12.048,43.174,16.639,56.663,3,2,1,0.1276519022,0.0335668779,0.0940850243,0.35,0.2509416196,-0.09905838,0.0549234673,4.0113614246,0.318134077,0.0073122152,0.0169163188,0.0453804643,1,0
001104,20121231,2012,ACME UNITED CORP,3420,67.8280,2.1690,2.8280,84.3700,24.32,0,0.573,1.521,2.3530,1.448,0.524,11.713,56.115,16.86,67.51,3,2,1,0.1677342823,0.0321285735,0.1356057088,0.35,0.1852899576,-0.164710042,0.0592272135,4.216975089,0.3585539895,0.0067915136,0.018027735,0.0346906882,2,0
001104,20131231,2013,ACME UNITED CORP,3420,68.0790,2.3070,3.1870,89.5770,22.912,0,0.603,1.485,5.9360,1.491,0.539,11.011,57.068,15.969,73.608,3,2,1,0.199574175,0.031341702,0.168232473,0.35,0.1691245686,-0.180875431,0.0613327082,4.2206687956,0.3365501843,0.0067316387,0.0165779162,0.0871928201,3,0
001104,20141231,2014,ACME UNITED CORP,3420,79.3080,3.8780,2.9250,107.2220,24.147,0,0.665,1.661,6.9310,2.014,0.573,8.782,70.525,15.924,91.298,3,2,1,0.1836850038,0.0424762864,0.1412087173,0.35,0.1958974359,-0.154102564,0.0634477999,4.3733390063,0.3044711757,0.0062020854,0.0154912238,0.0873934534,4,0
001104,20151231,2015,ACME UNITED CORP,3420,81.4210,3.2560,3.3580,109.8120,25.913,0,0.69,1.717,7.4010,1.82,0.553,7.733,73.688,13.189,96.622,3,2,1,0.2546061112,0.0336983296,0.2209077816,0.35,0.164681358,-0.185318642,0.0602302116,4.399633225,0.3182594171,0.0062834663,0.0156358139,0.0908979256,5,0
001104,20161231,2016,ACME UNITED CORP,3420,92.0660,2.0080,5.4890,124.5740,32.936,0,0.75,1.934,7.9730,1.646,0.985,7.962,84.104,13.781,110.793,3,2,1,0.39830201,0.0181238887,0.3801781213,0.35,0.1794498087,-0.170550191,0.0601810972,4.5225057112,0.357743358,0.0060205179,0.0155249089,0.0866009167,6,0
001104,20181231,2018,ACME UNITED CORP,3420,109.4770,1.9290,3.6020,137.3210,43.727,0.267,0.734,1.935,14.5430,0.933,0.619,9.757,99.72,16.328,120.993,3,2,1,0.2206026458,0.0159430711,0.2046595747,0.21,0.1718489728,-0.038151027,0.040277889,4.6957144815,0.4018560976,0.0053451402,0.0140910713,0.132840688,8,1
001104,20191231,2019,ACME UNITED CORP,3420,110.7490,0.8010,5.7420,142.4570,38.38,1.314,0.596,1.105,17.0250,1.029,0.887,12.171,98.577,16.74,125.717,3,2,1,0.3430107527,0.0063714533,0.3366392993,0.21,0.1544757924,-0.055524208,0.0459296489,4.7072663795,0.3584140715,0.0041837186,0.0077567266,0.153725993,9,1
001104,20201231,2020,ACME UNITED CORP,3420,129.8670,4.5250,5.3020,164.0030,46.84,1.14,0.251,1.084,22.6610,1.728,0.788,16.037,113.831,23.812,140.191,3,2,1,0.2226608433,0.032277393,0.1903834503,0.21,0.1486231611,-0.061376839,0.0599196356,4.8665108498,0.3694549039,0.0015304598,0.0066096352,0.1744939053,10,1
001104,20211231,2021,ACME UNITED CORP,3420,144.4390,9.7220,5.4530,182.0880,46.483,1.389,0,0.976,27.1570,1.519,0.87,18.918,125.521,29.613,152.475,3,2,1,0.1841420998,0.0637612723,0.1203808274,0.21,0.1595452045,-0.050454796,0.0833388252,4.9728572731,0.331434031,0,0.0053600457,0.1880170868,11,1
001104,20231231,2023,ACME UNITED CORP,3842,149.2410,18.9840,3.7500,191.5010,24.416,1.518,0,1.818,30.0270,4.941,0.544,17.859,131.382,28.296,163.205,3,2,1,0.1325275657,0.1163199657,0.0162076,0.21,0.1450666667,-0.064933333,0.1187147848,5.0055624489,0.1737726228,0,0.009493423,0.2011980622,13,1
001104,20241231,2024,ACME UNITED CORP,3842,162.1700,9.2250,3.0670,194.4900,30.84,2.001,0,1.509,36.4790,2.27,0.538,18.633,143.538,28.338,166.152,3,2,1,0.1082292328,0.0555214502,0.0527077826,0.21,0.1754157157,-0.034584284,0.0632011929,5.0886451677,0.202509712,0,0.0077587537,0.2249429611,14,1
001166,20131231,2013,ASM INTERNATIONAL NV,3559,2137.4660,1403.4650,57.6890,843.6560,0,0,103.881,0,96.2640,15.324,13.061,1702.919,434.547,641.055,202.601,5,3,2,0.0899907184,6.927236292,-1,0.35,0.2264036471,-0.123596353,1,7.6673762943,0,0.12313194,0,0.0450365058,3,0
001239,20100930,2010,ALBERTO-CULVER CO,2844,1878.2750,126.1440,91.7000,1598.4640,150.241,0.181,16.7,0,247.0490,62.708,15.564,849.03,731.331,653.317,943.916,5,4,1,0.1403606519,0.1336390103,0.0067216416,0.35,0.1697273719,-0.180272628,0.136283332,7.5381090814,0.0800851845,0.0104475296,0,0.1315297281,0,0
001380,20131231,2013,HESS CORP,1311,42754.0000,473.0000,4020.0000,22284.0000,5420,378,0,0,28771.0000,525,941,20598,18617,5829,6076,5,4,1,0.6896551724,0.0778472679,0.6118079045,0.35,0.234079602,-0.115920398,0.2016244839,10.663218037,0.1356130421,0,0,0.6729428825,3,0
001380,20141231,2014,HESS CORP,1311,38578.0000,676.0000,1760.0000,10737.0000,5919,68,0,0,27517.0000,744,453,18948,18472,4467,6270,5,4,1,0.3940004477,0.107814992,0.2861854557,0.35,0.2573863636,-0.092613636,0.2268790165,10.560437445,0.1551920784,0,0,0.7132821816,4,0
